sortOrder,titulo,categorias,referencia,preco,id,
1810,Lixeira Inox c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2133,,product-2133,
1820,Lixeira Inox c/ Tampa Flip Top Basculante Inox - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2103,,product-2103,
1830,Lixeira Inox coleta seletiva - redonda com pedal,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2191,,product-2191,
1840,Lixeira Inox com pedal - de 15L a 100L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2131,,product-2131,
1850,Lixeira Inox Quadrada c/ Pedal - de 15L a 120L,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMI2181,,product-2181,
1860,Lixeira Inox Quadrada c/ Tampa Aro - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2137,,product-2137,
1870,Lixeira Inox Quadrada c/ Tampa Basculante - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2139,,product-2139,
1880,Lixeira inox quadrada para Copos Descartáveis,Lixeiras e Contentores / Lixeiras Inox,CMI1823,,product-1823,
1890,Lixeira Inox Redonda com Pedal 30 Litros MSP376,Lixeiras e Contentores / Com Pedal / Lixeiras Inox,CMIMSP376,,product-1867,
1900,Lixeira inox redonda para Copos Descartáveis Inox,Lixeiras e Contentores / Lixeiras Inox,CMI1825,,product-1825,
1910,Lixeira Inox sem tampa - de 10L a 50L,Lixeiras e Contentores / Lixeiras Inox,CMI2105,,product-2105,
1920,Lixeira Inox sem tampa - de 15L a 100L,Lixeiras e Contentores / Lixeiras Inox,CMI2179,,product-2179,
1930,Lixeira Papacopo Água Água PP22,Lixeira para Copos,CMIPP22,,product-1273,
1940,Lixeira Papacopo Água Café PP21,Lixeira para Copos,CMIPP21,,product-1275,
1950,Lixeira Papacopo Água PP2,Lixeira para Copos,CMIPP2,,product-1277,
1960,Lixeira Papacopo Café Café PP11,Lixeira para Copos,CMIPP11,,product-1281,
1970,Lixeira Papacopo Café PP1,Lixeira para Copos,CMIPP1,,product-1279,
1980,Lixeira para copos de café descartáveis Preta,Lixeira para Copos,CMIMSP261,,product-1891,
1990,Lixeira para copos de café e água descartáveis Preta,Lixeira para Copos,CMIMSP259,,product-1839,
2000,Lixeira Plástico 17 Litros com Pedal Branca LPF17,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF17BR,,product-703,
2010,Lixeira plástico para coleta seletiva DINA 50 Litros,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINA,,product-1363,
2020,Lixeira Redonda c/ Tampa p/ Copos Descartáveis Água e Café Preta,Lixeira para Copos,CMICL51PR+MSP529,,product-741,
2030,Lixeira Redonda c/ Tampa para Copos de Água Descartáveis Branca,Lixeira para Copos,CMICL51BR+MSP513,,product-743,
2040,Lixeira retangular para coleta Seletiva 50 Litros com alça,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS52,,product-2085,
2050,Mão Mecânica 75cm Azul - MM75AZ,Acessórios,CMIMM75AZ,,product-1733,
2060,Mop Profissional Spray Pro,Equipamentos de Limpeza,CMIPSM85,,product-731,
2070,Organizador de Acessórios c/ 3 clips - OA03AZ,Acessórios,CMIOA03AZ,,product-1729,
2080,Organizador de Acessórios com 6 Clips,Acessórios,CMIOA06AZ,,product-1605,
